Year,Team Number,City,State,Country,Team Name,latitude,longitude
2001,691,Santa Clarita,California,USA,691: Project 691,34.4134712,-118.5518799
2001,692,Sacramento,California,USA,692: The Fembots,38.5793304,-121.4908981
2001,694,New York,New York,USA,694: StuyPulse,40.7820015,-73.8317032
2001,695,Beachwood,Ohio,USA,695: FIRST Responders,41.486351,-81.5028992
2001,696,La Crescenta,California,USA,696: Circuit Breakers,34.2293892,-118.2483597
2001,698,Chandler,Arizona,USA,698: Hamilton Microbots,33.3033791,-111.8408279
2001,701,Fairfield,California,USA,701: RoboVikes,38.2492294,-122.0438766
2001,702,Culver City,California,USA,702: Bagel Bytes,34.0216103,-118.3962097
2001,703,Saginaw,Michigan,USA,703: Team Phoenix,43.4191818,-83.9466705
2001,704,Grand Prairie,Texas,USA,704: Warriors,32.7476997,-97.0072021
2001,706,Hartland,Wisconsin,USA,706: Cyberhawks,43.1033592,-88.3479538
2001,708,Horsham,Pennsylvania,USA,708: Hatters Robotics,40.1797409,-75.1309662
2001,709,Bryn Mawr,Pennsylvania,USA,709: Femme Tech Fatale,40.0314102,-75.3154068
2001,714,Newark,New Jersey,USA,714: panthera,40.7319717,-74.1742096
2001,716,Falls Village,Connecticut,USA,716: Who'sCTEKS,41.975811,-73.3569412
2002,743,Bronx,New York,USA,743: Technobots,40.8372917,-73.8860092
2002,744,Ft. Lauderdale,Florida,USA,744: Shark Attack,26.1236706,-80.1435623
2002,746,Torornto,Ontario,Canada,746: Gearheads,43.6573982,-79.4328003
2002,751,Portola Valley,California,USA,751: barn2robotics,37.3823586,-122.2286835
2002,752,Newark,New Jersey,USA,752: The Chargers,40.7319717,-74.1742096
2002,753,Bend,Oregon,USA,753: High Desert Droids,44.0573883,-121.3158112
2002,766,Atherton,California,USA,766: M-A Bears,37.4624786,-122.1977997
2002,771,Oakville,Ontario,Canada,771: SWAT,43.4813995,-79.626503
2002,772,LaSalle,Ontario,Canada,772: Sabre Bytes,42.2455482,-83.0608673
2002,781,Kincardine,Ontario,Canada,781: Kinetic Knights,44.1795006,-81.6155014
2002,801,Merritt Island,Florida,USA,801: Horsepower,28.35709,-80.6859894
2002,806,Brooklyn,New York,USA,806: The Brooklyn Blacksmiths,40.6924515,-73.9903564
2002,810,Smithtown,New York,USA,810: The Mechanical Bulls,40.8550987,-73.1978683
2002,811,Nashua,New Hampshire,USA,811: Cardinals,42.7586212,-71.4643326
2002,812,San Diego,California,USA,812: The Midnight Mechanics,32.7156906,-117.1617203
2002,815,Allen Park,Michigan,USA,815: Advanced Power,42.2639198,-83.220047
2002,816,Westampton,New Jersey,USA,816: Anomaly,40.0083313,-74.8361511
2002,818,Warren,Michigan,USA,818: Steel Armadillos,42.5111084,-83.0285187
2002,829,Indianapolis,Indiana,USA,829: Digital Goats,39.7669106,-86.1499634
2002,830,Ann Arbor,Michigan,USA,830: The RatPack,42.2821007,-83.7484665
2002,832,Roswell,Georgia,USA,832: Oscar,34.0216599,-84.3602982
2002,834,Center Valley,Pennsylvania,USA,834: SparTechs,40.5338898,-75.3950272
2002,835,Beverly Hills,Michigan,USA,835: The Sting,42.5169983,-83.2274399
2002,836,Hollywood,Maryland,USA,836: The RoboBees,38.3457794,-76.5725098
2002,839,Agawam,Massachusetts,USA,839: Rosie Robotics,42.0890198,-72.6261215
2002,841,Richmond,California,USA,841: The BioMechs,37.937809,-122.3427124
2002,842,Phoenix,Arizona,USA,842: Falcon Robotics,33.4482498,-112.075798
2002,846,San Jose,California,USA,846: The Funky Monkeys,37.3385811,-121.8855667
2002,847,Philomath,Oregon,USA,847: PHRED,44.5401306,-123.3685913
2002,848,San Pedro,California,USA,848: ROBOHUSKIES,33.7414703,-118.2982864
2002,852,Danville,California,USA,852: The Athenian Robotics Collective,37.8316193,-122.0047684
2002,854,Toronto,Ontario,Canada,854: The Iron Bears,43.6573982,-79.4328003
2002,857,Houghton,Michigan,USA,857: Superior Roboworks,47.1218605,-88.5700226
2002,858,Wyoming,Michigan,USA,858: Demons,42.9133987,-85.694603
2002,862,Canton,Michigan,USA,862: Lightning Robotics,42.2995987,-83.4868011
2002,865,Toronto,Ontario,Canada,865: WARP7,43.6573982,-79.4328003
2002,867,Arcadia,California,USA,867: Absolute Value,34.1361389,-118.0388718
2002,868,Carmel,Indiana,USA,868: TechHOUNDS,39.9783897,-86.1264191
2002,869,Middlesex,New Jersey,USA,869: PowerCord,40.579361,-74.5006714
2002,870,Southold,New York,USA,870: TEAM  R. I. C. E.,41.0641098,-72.4284515
2002,871,West Islip,New York,USA,871: Robotechs,40.7119713,-73.2909698
2002,876,Hatton/Northwood,North Dakota,USA,876: Thunder Robotics,47.4462814,-100.4693985
2002,877,Cando,North Dakota,USA,877: North Star,48.4913902,-99.2096176
2002,884,Malverne,New York,USA,884: Mechanical Mules,40.6759796,-73.6670914
2002,885,Randolph Center,Vermont,USA,885: THE GREEN TEAM,43.9400597,-72.6069489
2002,886,North York,Ontario,Canada,886: Wildcats,43.7667999,-79.4162979
2002,888,Glenelg,Maryland,USA,888: Robotiators,39.2666092,-76.986702
